"2","加拿大","Canada","1","1"
"3","俄罗斯","Russia","1","1"
"4","美国","United States of America","1","1"
"5","埃及","Egypt","1","1"
"6","南非","South Africa","1","1"
"7","希腊","Greece","1","1"
"8","荷兰","Netherlands","1","1"
"9","比利时","Belgium","1","1"
"10","法国","France","1","1"
"11","西班牙","Spain","1","1"
"12","匈牙利","Hungary","1","1"
"13","意大利","Italy","1","1"
"14","罗马尼亚","Romania","1","1"
"15","瑞士","Switzerland","1","1"
"16","奥地利","Austria","1","1"
"17","英国","UK","1","1"
"18","丹麦","Denmark","1","1"
"19","瑞典","Sweden","1","1"
"20","挪威","Norway","1","1"
"21","波兰","Poland","1","1"
"22","德国","Germany","1","1"
"23","秘鲁","Peru","1","1"
"24","墨西哥","Mexico","1","1"
"25","古巴","Cuba","1","1"
"26","阿根廷","Argentina","1","1"
"27","巴西","Brazil","1","1"
"28","智利","Chile","1","1"
"29","哥伦比亚","Colombia","1","1"
"30","委内瑞拉","Venezuela","1","1"
"31","马来西亚","Malaysia","1","1"
"32","澳大利亚","Australia","1","1"
"33","印度尼西亚","Indonesia","1","1"
"34","菲律宾","Philippines","1","1"
"35","新西兰","New Zealand","1","1"
"36","新加坡","Singapore","1","1"
"37","泰国","Thailand","1","1"
"38","日本","Japan","1","1"
"39","韩国","Korea","1","1"
"40","越南","Vietnam","1","1"
"41","中国","China","1","1"
"42","土耳其","Turkey","1","1"
"43","印度","India","1","1"
"44","巴基斯坦","Pakistan","1","1"
"45","阿富汗","Afghanistan","1","1"
"46","斯里兰卡","Sri Lanka","1","1"
"47","缅甸","Burma","1","1"
"48","伊朗","Iran","1","1"
"49","摩洛哥","Morocco","1","1"
"50","阿尔及利亚","Algeria","1","1"
"51","突尼斯","Tunisia","1","1"
"52","利比亚","Libya","1","1"
"53","冈比亚","Gambia","1","1"
"54","塞内加尔","Senegal","1","1"
"55","马里","Mali","1","1"
"56","几内亚","Guinea","1","1"
"57","科特迪瓦","Ivory Coast","1","1"
"58","布基纳法索","Burkina-faso","1","1"
"59","尼日尔","Niger","1","1"
"60","多哥","Togo","1","1"
"61","贝宁","Benin","1","1"
"62","毛里求斯","Mauritius","1","1"
"63","利比里亚","Liberia","1","1"
"64","塞拉利昂","Sierra Leone","1","1"
"65","加纳","Ghana","1","1"
"66","尼日利亚","Nigeria","1","1"
"67","乍得","Chad","1","1"
"68","中非共和国","Central African Republic","1","1"
"69","喀麦隆","Cameroon","1","1"
"70","圣多美和普林西比","Sao Tome and Principe","1","1"
"71","加蓬","Gabon","1","1"
"72","刚果","Congo","1","1"
"73","扎伊尔","Zaire","1","1"
"74","安哥拉","Angola","1","1"
"75","阿森松","Ascension","1","1"
"76","塞舌尔","Seychelles","1","1"
"77","苏丹","Sudan","1","1"
"78","埃塞俄比亚","Ethiopia","1","1"
"79","索马里","Somali","1","1"
"80","吉布提","Djibouti","1","1"
"81","肯尼亚","Kenya","1","1"
"82","坦桑尼亚","Tanzania","1","1"
"83","乌干达","Uganda","1","1"
"84","布隆迪","Burundi","1","1"
"85","莫桑比克","Mozambique","1","1"
"86","赞比亚","Zambia","1","1"
"87","马达加斯加","Madagascar","1","1"
"88","留尼旺","Reunion","1","1"
"89","津巴布韦","Zimbabwe","1","1"
"90","纳米比亚","Namibia","1","1"
"91","马拉维","Malawi","1","1"
"92","莱索托","Lesotho","1","1"
"93","博茨瓦纳","Botswana","1","1"
"94","斯威士兰","Swaziland","1","1"
"95","哈萨克斯坦","Kazakstan","1","1"
"96","吉尔吉斯坦","Kyrgyzstan","1","1"
"97","直布罗陀","Gibraltar","1","1"
"98","葡萄牙","Portugal","1","1"
"99","卢森堡","Luxembourg","1","1"
"100","爱尔兰","Ireland","1","1"
"101","冰岛","Iceland","1","1"
"102","阿尔巴尼亚","Albania","1","1"
"103","马耳他","Malta","1","1"
"104","塞浦路斯","Cyprus","1","1"
"105","芬兰","Finland","1","1"
"106","保加利亚","Bulgaria","1","1"
"107","立陶宛","Lithuania","1","1"
"108","拉脱维亚","Latvia","1","1"
"109","爱沙尼亚","Estonia","1","1"
"110","摩尔多瓦","Moldova, Republic of","1","1"
"111","亚美尼亚","Armenia","1","1"
"112","白俄罗斯","Belarus","1","1"
"113","安道尔共和国","Andorra","1","1"
"114","摩纳哥","Monaco","1","1"
"115","圣马力诺","San Marino","1","1"
"116","乌克兰","Ukraine","1","1"
"117","南斯拉夫","Yugoslavia","1","1"
"118","斯洛文尼亚","Slovenia","1","1"
"119","捷克","Czech Republic","1","1"
"120","斯洛伐克","Slovakia","1","1"
"121","列支敦士登","Liechtenstein","1","1"
"122","伯利兹","Belize","1","1"
"123","萨尔瓦多","EI Salvador","1","1"
"124","洪都拉斯","Honduras","1","1"
"125","尼加拉瓜","Nicaragua","1","1"
"126","哥斯达黎加","Costa Rica","1","1"
"127","巴拿马","Panama","1","1"
"128","海地","Haiti","1","1"
"129","玻利维亚","Bolivia","1","1"
"130","圭亚那","Guyana","1","1"
"131","厄瓜多尔","Ecuador","1","1"
"132","法属圭亚那","French Guiana","1","1"
"133","巴拉圭","Paraguay","1","1"
"134","马提尼克","Martinique","1","1"
"135","苏里南","Suriname","1","1"
"136","乌拉圭","Uruguay","1","1"
"137","荷属安的列斯","Netheriands Antilles","1","1"
"138","文莱","Brunei","1","1"
"139","瑙鲁","Nauru","1","1"
"140","巴布亚新几内亚","Papua New Cuinea","1","1"
"141","汤加","Tonga","1","1"
"142","所罗门群岛","Solomon Is","1","1"
"143","斐济","Fiji","1","1"
"144","库克群岛","Cook Is.","1","1"
"145","东萨摩亚(美)","Samoa Eastern","1","1"
"146","西萨摩亚","Samoa Western","1","1"
"147","法属玻利尼西亚","French Polynesia","1","1"
"148","朝鲜","North Korea","1","1"
"151","柬埔寨","Kampuchea (Cambodia )","1","1"
"152","老挝","Laos","1","1"
"153","孟加拉国","Bangladesh","1","1"
"155","马尔代夫","Maldives","1","1"
"156","黎巴嫩","Lebanon","1","1"
"157","约旦","Jordan","1","1"
"158","叙利亚","Syria","1","1"
"159","伊拉克","Iraq","1","1"
"160","科威特","Kuwait","1","1"
"161","沙特阿拉伯","Saudi Arabia","1","1"
"162","也门","Yemen","1","1"
"163","阿曼","Oman","1","1"
